,id,bid,正文,日期,点赞数,评论数,转发数,发表时间
0,4954901345207820,Nn2eylQN6,"《所有女生的offer3》第二集
护肤、美妆、卸妆都到位！#所有女生的offer# 
李佳琦Austin的微博视频
 ",2023-10-09T12:00:01,18080,2793,1804,2023-10-09 12:00:01
1,4954599356893911,NmUntsVq7,"《所有女生的offer3》特别篇（下）
岛上谈判，背水一战！大offer，我来了！#所有女生的offer# 
李佳琦Austin的微博视频
 ",2023-10-08T16:00:01,9658,2144,2027,2023-10-08 16:00:01
2,4954538954459468,NmSO3iI6U,"《所有女生的offer3》特别篇（上）
不谈offer？和新老朋友的快乐小岛团建来咯！#所有女生的offer# 
李佳琦Austin的微博视频
 ",2023-10-08T12:00:00,13670,4424,4611,2023-10-08 12:00:00
3,4947773079158815,Nk2NlCqCP,"母婴节来咯~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-09-19T19:54:49,210612,70549,291,2023-09-19 19:54:49
4,4944598297740136,NiIcJwtyU,"今天没有用“所有女生”开头，因为李佳琦让大家失望了，在看这条微博的所有人，对不起。
我刚刚结束今天的工作，昨天我在直播间回应产品评论时，说了些不恰当、让大家不舒服的话。今天工作的时候我也一直在反思，在回想，如果我是评论里的那位女生，会多失望啊。
我本就是一个彩妆柜台销售员，深知大家 ...
全文",2023-09-11T01:39:23,7500438,333441,23785,2023-09-11 01:39:23
5,4944482783466211,NiFcqexID,"爆款好价单品推荐中~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-09-10T18:00:22,1024545,181467,1393,2023-09-10 18:00:22
6,4944399279327480,NiD1JD8ve,"分享在内蒙出差的趣事
就一个要求，不要截表情包[老师爱你] 
李佳琦Austin的微博视频
  
抽奖详情
 ",2023-09-10T12:28:33,443838,20312,601,2023-09-10 12:28:33
7,4944106116617230,NivoTrLrw,"99大促第四波来咯~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-09-09T17:03:38,47141,2819,72,2023-09-09 17:03:38
8,4943743373543979,NilXPeRWX,"99大促第三波来咯~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-09-08T17:02:13,10189,2166,63,2023-09-08 17:02:13
9,4943380536888053,NicwBsTTD,"99大促第二波来咯~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-09-07T17:00:26,18589,17108,302,2023-09-07 17:00:26
10,4942689130777902,NhUxr3gmO,"在草原上追到的落日余晖
最近好多地方的落霞都好美呀
你们都有拍吗？ ",2023-09-05T19:13:02,28573,2803,141,2023-09-05 19:13:02
11,4941589158040584,NhrVhxJIQ,"我好累，offer好大
今年主打我卑微 ",2023-09-02T18:22:08,37384,2357,147,2023-09-02 18:22:08
12,4939296124966079,NgugQkPU3,"看到了日出也看到了漫天星辰
还遇见一只很有缘的小狗
已经迫不及待回去跟你们分享这里的故事了 ",2023-08-27T10:30:26,21021,1288,157,2023-08-27 10:30:26
13,4939047052512312,NgnN7axza,"全品类好物助播专场~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-08-26T18:00:43,1937,236,6,2023-08-26 18:00:43
14,4938684654161409,NgemBhszv,"个护家清小专场来咯~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-08-25T18:00:40,2577,283,6,2023-08-25 18:00:40
15,4938031813363713,NfXnDe73r,"是接到大广告的女明星nene了！
 ",2023-08-23T22:46:31,19676,1086,119,2023-08-23 22:46:31
16,4936122667107855,Nf9ImtP4P, ,2023-08-18T16:20:15,56165,6130,448,2023-08-18 16:20:15
17,4934622733141145,NewH7db9D,"在优时颜微笑照相馆，我遇见了几位特别的女生。这是镜头里记录下的，属于她们的微笑故事……#李佳琦在照相馆打工# 
李佳琦Austin的微博视频
 ",2023-08-14T13:00:03,16547,1480,1213,2023-08-14 13:00:03
18,4954901345207820,Nn2eylQN6,"《所有女生的offer3》第二集
护肤、美妆、卸妆都到位！#所有女生的offer# 
李佳琦Austin的微博视频
 ",2023-10-09T12:00:01,18486,2862,1850,2023-10-09 12:00:01
19,4954599356893911,NmUntsVq7,"《所有女生的offer3》特别篇（下）
岛上谈判，背水一战！大offer，我来了！#所有女生的offer# 
李佳琦Austin的微博视频
 ",2023-10-08T16:00:01,9749,2158,2049,2023-10-08 16:00:01
20,4954538954459468,NmSO3iI6U,"《所有女生的offer3》特别篇（上）
不谈offer？和新老朋友的快乐小岛团建来咯！#所有女生的offer# 
李佳琦Austin的微博视频
 ",2023-10-08T12:00:00,13786,4444,4662,2023-10-08 12:00:00
21,4947773079158815,Nk2NlCqCP,"母婴节来咯~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-09-19T19:54:49,210632,70551,291,2023-09-19 19:54:49
22,4944598297740136,NiIcJwtyU,"今天没有用“所有女生”开头，因为李佳琦让大家失望了，在看这条微博的所有人，对不起。
我刚刚结束今天的工作，昨天我在直播间回应产品评论时，说了些不恰当、让大家不舒服的话。今天工作的时候我也一直在反思，在回想，如果我是评论里的那位女生，会多失望啊。
我本就是一个彩妆柜台销售员，深知大家 ...
全文",2023-09-11T01:39:23,7500500,333441,23784,2023-09-11 01:39:23
23,4944482783466211,NiFcqexID,"爆款好价单品推荐中~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-09-10T18:00:22,1024545,181467,1393,2023-09-10 18:00:22
24,4944399279327480,NiD1JD8ve,"分享在内蒙出差的趣事
就一个要求，不要截表情包[老师爱你] 
李佳琦Austin的微博视频
  
抽奖详情
 ",2023-09-10T12:28:33,443838,20312,601,2023-09-10 12:28:33
25,4944106116617230,NivoTrLrw,"99大促第四波来咯~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-09-09T17:03:38,47143,2820,72,2023-09-09 17:03:38
26,4943743373543979,NilXPeRWX,"99大促第三波来咯~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-09-08T17:02:13,10189,2166,63,2023-09-08 17:02:13
27,4943380536888053,NicwBsTTD,"99大促第二波来咯~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-09-07T17:00:26,18589,17108,302,2023-09-07 17:00:26
28,4942689130777902,NhUxr3gmO,"在草原上追到的落日余晖
最近好多地方的落霞都好美呀
你们都有拍吗？ ",2023-09-05T19:13:02,28573,2802,141,2023-09-05 19:13:02
29,4941589158040584,NhrVhxJIQ,"我好累，offer好大
今年主打我卑微 ",2023-09-02T18:22:08,37386,2357,147,2023-09-02 18:22:08
30,4939296124966079,NgugQkPU3,"看到了日出也看到了漫天星辰
还遇见一只很有缘的小狗
已经迫不及待回去跟你们分享这里的故事了 ",2023-08-27T10:30:26,21022,1288,157,2023-08-27 10:30:26
31,4939047052512312,NgnN7axza,"全品类好物助播专场~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-08-26T18:00:43,1937,236,6,2023-08-26 18:00:43
32,4938684654161409,NgemBhszv,"个护家清小专场来咯~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-08-25T18:00:40,2577,283,6,2023-08-25 18:00:40
33,4938031813363713,NfXnDe73r,"是接到大广告的女明星nene了！
 ",2023-08-23T22:46:31,19676,1086,119,2023-08-23 22:46:31
34,4936122667107855,Nf9ImtP4P, ,2023-08-18T16:20:15,56164,6130,448,2023-08-18 16:20:15
35,4934622733141145,NewH7db9D,"在优时颜微笑照相馆，我遇见了几位特别的女生。这是镜头里记录下的，属于她们的微笑故事……#李佳琦在照相馆打工# 
李佳琦Austin的微博视频
 ",2023-08-14T13:00:03,16547,1480,1213,2023-08-14 13:00:03
36,4954901345207820,Nn2eylQN6,"《所有女生的offer3》第二集
护肤、美妆、卸妆都到位！#所有女生的offer# 
李佳琦Austin的微博视频
 ",2023-10-09T12:00:01,18850,2910,1898,2023-10-09 12:00:01
37,4954599356893911,NmUntsVq7,"《所有女生的offer3》特别篇（下）
岛上谈判，背水一战！大offer，我来了！#所有女生的offer# 
李佳琦Austin的微博视频
 ",2023-10-08T16:00:01,9834,2177,2083,2023-10-08 16:00:01
38,4954538954459468,NmSO3iI6U,"《所有女生的offer3》特别篇（上）
不谈offer？和新老朋友的快乐小岛团建来咯！#所有女生的offer# 
李佳琦Austin的微博视频
 ",2023-10-08T12:00:00,13901,4477,4710,2023-10-08 12:00:00
39,4947773079158815,Nk2NlCqCP,"母婴节来咯~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-09-19T19:54:49,210664,70551,291,2023-09-19 19:54:49
40,4944598297740136,NiIcJwtyU,"今天没有用“所有女生”开头，因为李佳琦让大家失望了，在看这条微博的所有人，对不起。
我刚刚结束今天的工作，昨天我在直播间回应产品评论时，说了些不恰当、让大家不舒服的话。今天工作的时候我也一直在反思，在回想，如果我是评论里的那位女生，会多失望啊。
我本就是一个彩妆柜台销售员，深知大家 ...
全文",2023-09-11T01:39:23,7500505,333441,23784,2023-09-11 01:39:23
41,4944482783466211,NiFcqexID,"爆款好价单品推荐中~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-09-10T18:00:22,1024544,181466,1393,2023-09-10 18:00:22
42,4944399279327480,NiD1JD8ve,"分享在内蒙出差的趣事
就一个要求，不要截表情包[老师爱你] 
李佳琦Austin的微博视频
  
抽奖详情
 ",2023-09-10T12:28:33,443840,20312,601,2023-09-10 12:28:33
43,4944106116617230,NivoTrLrw,"99大促第四波来咯~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-09-09T17:03:38,47143,2820,72,2023-09-09 17:03:38
44,4943743373543979,NilXPeRWX,"99大促第三波来咯~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-09-08T17:02:13,10190,2166,63,2023-09-08 17:02:13
45,4943380536888053,NicwBsTTD,"99大促第二波来咯~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-09-07T17:00:26,18590,17108,302,2023-09-07 17:00:26
46,4942689130777902,NhUxr3gmO,"在草原上追到的落日余晖
最近好多地方的落霞都好美呀
你们都有拍吗？ ",2023-09-05T19:13:02,28573,2802,141,2023-09-05 19:13:02
47,4941589158040584,NhrVhxJIQ,"我好累，offer好大
今年主打我卑微 ",2023-09-02T18:22:08,37387,2357,147,2023-09-02 18:22:08
48,4939296124966079,NgugQkPU3,"看到了日出也看到了漫天星辰
还遇见一只很有缘的小狗
已经迫不及待回去跟你们分享这里的故事了 ",2023-08-27T10:30:26,21022,1288,157,2023-08-27 10:30:26
49,4939047052512312,NgnN7axza,"全品类好物助播专场~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-08-26T18:00:43,1938,236,6,2023-08-26 18:00:43
50,4938684654161409,NgemBhszv,"个护家清小专场来咯~正在直播中，场面异常火爆，小伙伴们速来围观~
微博直播
 ",2023-08-25T18:00:40,2577,283,6,2023-08-25 18:00:40
51,4938031813363713,NfXnDe73r,"是接到大广告的女明星nene了！
 ",2023-08-23T22:46:31,19676,1086,119,2023-08-23 22:46:31
52,4936122667107855,Nf9ImtP4P, ,2023-08-18T16:20:15,56164,6130,448,2023-08-18 16:20:15
53,4934622733141145,NewH7db9D,"在优时颜微笑照相馆，我遇见了几位特别的女生。这是镜头里记录下的，属于她们的微笑故事……#李佳琦在照相馆打工# 
李佳琦Austin的微博视频
 ",2023-08-14T13:00:03,16547,1480,1212,2023-08-14 13:00:03
